iter	Passed	Remaining
1401	19030	659656
1402	19038	659446
1403	19048	659301
1404	19057	659156
1405	19070	659121
1406	19080	658976
1407	19089	658799
1408	19097	658586
1409	19106	658424
1410	19118	658349
1411	19128	658215
1412	19136	658014
1413	19144	657833
1414	19156	657757
1415	19168	657681
1416	19177	657528
1417	19188	657427
1418	19198	657274
1419	19210	657213
1420	19221	657116
1421	19229	656926
1422	19236	656687
1423	19250	656663
1424	19261	656590
1425	19271	656440
1426	19279	656237
1427	19288	656076
1428	19299	655986
1429	19309	655839
1430	19319	655723
1431	19332	655681
1432	19344	655632
1433	19358	655623
1434	19372	655624
1435	19381	655445
1436	19387	655205
1437	19395	654984
1438	19404	654822
1439	19419	654854
1440	19428	654714
1441	19437	654528
1442	19443	654281
1443	19454	654176
1444	19465	654081
1445	19475	653937
1446	19489	653965
1447	19501	653882
1448	19508	653671
1449	19516	653461
1450	19525	653320
1451	19533	653124
1452	19546	653091
1453	19558	653031
1454	19566	652832
1455	19579	652799
1456	19588	652621
1457	19597	652467
1458	19607	652328
1459	19615	652154
1460	19624	651998
1461	19634	651870
1462	19643	651715
1463	19653	651582
1464	19667	651581
1465	19677	651457
1466	19690	651433
1467	19699	651275
1468	19709	651130
1469	19716	650921
1470	19731	650936
1471	19742	650842
1472	19752	650733
1473	19764	650685
1474	19778	650688
1475	19796	650824
1476	19805	650664
1477	19818	650637
1478	19833	650665
1479	19847	650673
1480	19859	650614
1481	19871	650551
1482	19888	650659
1483	19903	650701
1484	19917	650718
1485	19931	650720
1486	19946	650760
1487	19959	650725
1488	19971	650656
1489	19987	650729
1490	20005	650879
1491	20020	650921
1492	20032	650855
1493	20047	650877
1494	20061	650895
1495	20078	650984
1496	20090	650940
1497	20103	650917
1498	20118	650941
1499	20134	651020
1500	20147	650983
1501	20160	650952
1502	20175	651014
1503	20192	651109
1504	20209	651212
1505	20224	651252
1506	20237	651199
1507	20250	651194
1508	20265	651210
1509	20282	651335
1510	20305	651609
1511	20318	651576
1512	20331	651570
1513	20344	651531
1514	20357	651522
1515	20372	651541
1516	20387	651579
1517	20401	651586
1518	20415	651601
1519	20426	651491
1520	20440	651501
1521	20456	651562
1522	20472	651635
1523	20488	651718
1524	20497	651561
1525	20512	651596
1526	20528	651647
1527	20546	651785
1528	20562	651860
1529	20575	651835
1530	20591	651885
1531	20607	651950
1532	20618	651876
1533	20634	651933
1534	20650	652013
1535	20665	652032
1536	20680	652059
1537	20694	652092
1538	20708	652076
1539	20722	652098
1540	20738	652157
1541	20751	652124
1542	20766	652163
1543	20784	652284
1544	20799	652333
1545	20815	652374
1546	20827	652327
1547	20843	652388
1548	20862	652569
1549	20876	652564
1550	20890	652558
1551	20904	652556
1552	20918	652572
1553	20932	652563
1554	20946	652577
1555	20959	652553
1556	20974	652588
1557	20988	652592
1558	21001	652569
1559	21016	652599
1560	21030	652589
1561	21044	652600
1562	21057	652567
1563	21068	652463
1564	21082	652468
1565	21097	652515
1566	21111	652523
1567	21126	652564
1568	21138	652496
1569	21154	652543
1570	21167	652531
1571	21178	652452
1572	21191	652408
1573	21204	652367
1574	21219	652406
1575	21231	652369
1576	21245	652348
1577	21257	652306
1578	21271	652308
1579	21285	652317
1580	21299	652295
1581	21312	652269
1582	21328	652341
1583	21342	652350
1584	21354	652293
1585	21367	652269
1586	21378	652184
1587	21394	652225
1588	21408	652253
1589	21424	652310
1590	21435	652198
1591	21447	652144
1592	21459	652098
1593	21469	651981
1594	21479	651849
1595	21492	651825
1596	21506	651843
1597	21517	651740
1598	21531	651757
1599	21545	651749
1600	21555	651636
1601	21569	651638
1602	21579	651514
1603	21596	651626
1604	21611	651636
1605	21624	651603
1606	21639	651636
1607	21657	651764
1608	21672	651803
1609	21679	651588
1610	21691	651531
1611	21697	651291
1612	21712	651325
1613	21719	651113
1614	21725	650877
1615	21739	650905
1616	21751	650822
1617	21761	650733
1618	21769	650555
1619	21784	650585
1620	21796	650522
1621	21807	650435
1622	21817	650317
1623	21831	650308
1624	21841	650197
1625	21852	650108
1626	21865	650104
1627	21879	650090
1628	21894	650129
1629	21905	650027
1630	21917	649997
1631	21929	649922
1632	21939	649804
1633	21950	649721
1634	21966	649803
1635	21978	649743
1636	21995	649819
1637	22010	649867
1638	22022	649806
1639	22029	649595
1640	22042	649568
1641	22052	649461
1642	22066	649473
1643	22079	649433
1644	22094	649482
1645	22106	649416
1646	22119	649394
1647	22133	649388
1648	22146	649356
1649	22160	649380
1650	22175	649399
1651	22188	649375
1652	22201	649362
1653	22212	649274
1654	22226	649256
1655	22240	649282
1656	22253	649237
1657	22267	649245
1658	22284	649336
1659	22300	649393
1660	22310	649275
1661	22322	649241
1662	22338	649301
1663	22352	649292
